10101,The Eclipse Community,What is Eclipse?,http://wiki.eclipse.org/FAQ_What_is_Eclipse%3F,FAQ What is Eclipse?
10102,,What is the Eclipse Platform?,http://wiki.eclipse.org/FAQ_What_is_the_Eclipse_Platform%3F,FAQ What is the Eclipse Platform?
10103,,Where did Eclipse come from?,http://wiki.eclipse.org/FAQ_Where_did_Eclipse_come_from%3F,FAQ Where did Eclipse come from?
10104,,What is the Eclipse Foundation?,http://wiki.eclipse.org/FAQ_What_is_the_Eclipse_Foundation%3F,FAQ What is the Eclipse Foundation?
10105,,How can my users tell where Eclipse ends and a product starts?,http://wiki.eclipse.org/FAQ_How_can_my_users_tell_where_Eclipse_ends_and_a_product_starts%3F,FAQ How can my users tell where Eclipse ends and a product starts?
10106,,What are Eclipse projects and technologies?,http://wiki.eclipse.org/FAQ_What_are_Eclipse_projects_and_technologies%3F,FAQ What are Eclipse projects and technologies?
10107,,How do I propose my own project?,http://wiki.eclipse.org/FAQ_How_do_I_propose_my_own_project%3F,FAQ How do I propose my own project?
10108,,Who is building commercial products based on Eclipse?,http://wiki.eclipse.org/FAQ_Who_is_building_commercial_products_based_on_Eclipse%3F,FAQ Who is building commercial products based on Eclipse?
10109,,What open source projects are based on Eclipse?,http://wiki.eclipse.org/FAQ_What_open_source_projects_are_based_on_Eclipse%3F,FAQ What open source projects are based on Eclipse?
10110,,What academic research projects are based on Eclipse?,http://wiki.eclipse.org/FAQ_What_academic_research_projects_are_based_on_Eclipse%3F,FAQ What academic research projects are based on Eclipse?
10111,,Who uses Eclipse in the classroom?,http://wiki.eclipse.org/FAQ_Who_uses_Eclipse_in_the_classroom%3F,FAQ Who uses Eclipse in the classroom?
10112,,What is an Eclipse Innovation Grant?,http://wiki.eclipse.org/FAQ_What_is_an_Eclipse_Innovation_Grant%3F,FAQ What is an Eclipse Innovation Grant?
10113,,What Eclipse newsgroups are available?,http://wiki.eclipse.org/FAQ_What_Eclipse_newsgroups_are_available%3F,FAQ What Eclipse newsgroups are available?
10114,,How do I get access to Eclipse newsgroups?,http://wiki.eclipse.org/FAQ_How_do_I_get_access_to_Eclipse_newsgroups%3F,FAQ How do I get access to Eclipse newsgroups?
10115,,What Eclipse mailing lists are available?,http://wiki.eclipse.org/FAQ_What_Eclipse_mailing_lists_are_available%3F,FAQ What Eclipse mailing lists are available?
10116,,What articles on Eclipse have been written?,http://wiki.eclipse.org/FAQ_What_articles_on_Eclipse_have_been_written%3F,FAQ What articles on Eclipse have been written?
10117,,What books have been written on Eclipse?,http://wiki.eclipse.org/FAQ_What_books_have_been_written_on_Eclipse%3F,FAQ What books have been written on Eclipse?
10118,,How do I report a bug in Eclipse?,http://wiki.eclipse.org/FAQ_How_do_I_report_a_bug_in_Eclipse%3F,FAQ How do I report a bug in Eclipse?
10119,,How can I search the existing list of bugs in Eclipse?,http://wiki.eclipse.org/FAQ_How_can_I_search_the_existing_list_of_bugs_in_Eclipse%3F,FAQ How can I search the existing list of bugs in Eclipse?
10120,,What do I do if my feature request is ignored?,http://wiki.eclipse.org/FAQ_What_do_I_do_if_my_feature_request_is_ignored%3F,FAQ What do I do if my feature request is ignored?
10121,,"Can I get my documentation in PDF form, please?","http://wiki.eclipse.org/FAQ_Can_I_get_my_documentation_in_PDF_form,_please%3F","FAQ Can I get my documentation in PDF form, please?"
10122,,Where do I find documentation for a given extension point?,http://wiki.eclipse.org/FAQ_Where_do_I_find_documentation_for_a_given_extension_point%3F,FAQ Where do I find documentation for a given extension point?
10123,,How is Eclipse licensed,http://wiki.eclipse.org/FAQ_How_is_Eclipse_licensed%3F,FAQ How is Eclipse licensed?
10201,Getting Started,Where do I get and install Eclipse?,http://wiki.eclipse.org/FAQ_Where_do_I_get_and_install_Eclipse%3F,FAQ Where do I get and install Eclipse?
10202,,How do I run Eclipse?,http://wiki.eclipse.org/FAQ_How_do_I_run_Eclipse%3F,FAQ How do I run Eclipse?
10203,,How do I increase the heap size available to Eclipse?,http://wiki.eclipse.org/FAQ_How_do_I_increase_the_heap_size_available_to_Eclipse%3F,FAQ How do I increase the heap size available to Eclipse?
10204,,Where can I find that elusive .log file?,http://wiki.eclipse.org/FAQ_Where_can_I_find_that_elusive_.log_file%3F,FAQ Where can I find that elusive .log file?
10205,,Does Eclipse run on any Linux distribution?,http://wiki.eclipse.org/FAQ_Does_Eclipse_run_on_any_Linux_distribution%3F,FAQ Does Eclipse run on any Linux distribution?
